signal_id,timestamp,direction,signal_state,outcome,btc_price,confidence,entry_zone_low,entry_zone_high,stop_loss,target_1,target_2,risk_reward_ratio,setup_type,market_bias,whale_direction,liquidity_direction,pnl_percent,outcome_notes,status
610e8610-e3f8-4f1c-9d74-56887cf8d308,2026-03-14T15:13:23.647000,SHORT,SETUP_IN_CONFIRMATION,EXPIRED,70671.6,49.6,70671.6,70787.1,70892.7,70200.0,68971.6,2.13,sweep_reversal,BEARISH,NEUTRAL,UP,,Migrated from legacy format,setup_invalidated
42bc6e6c-d4f7-454c-be02-0fe6c2e1cec5,2026-03-14T15:05:16.200000,NO TRADE,NO_TRADE,NO_TRADE,70666.7,55.0,69960.03,71373.37,0.0,0.0,0.0,0.0,standard,NEUTRAL,NEUTRAL,UP,,,setup_invalidated
9c1c4dbe-0d6c-4f0f-a4c4-6a6b4af99423,2026-03-14T15:04:44.839000,SHORT,SETUP_IN_CONFIRMATION,EXPIRED,70671.0,49.6,70671.0,70787.1,70892.7,70200.0,68971.6,2.12,sweep_reversal,BEARISH,NEUTRAL,UP,,Migrated from legacy format,setup_invalidated
1834ef96-f92c-4758-8b05-7c8e1dd28515,2026-03-13T19:11:30.254000,NO TRADE,,NO_TRADE,71281.1,50.0,70568.29,71993.91,0.0,0.0,0.0,0.0,standard,NEUTRAL,NEUTRAL,UP,,,invalidated
80316fe6-d9cb-487d-a8b8-d597119d2a63,2026-03-13T19:10:12.274000,LONG,,PARTIAL_WIN,71208.9,49.6,71231.13,71208.9,68626.74,70787.1,71695.7,0.16,sweep_reversal,BULLISH,NEUTRAL,UP,-0.59,"[RECALCULATED] T1 hit at $70,787, expired before T2",invalidated
ddb1b08c-2de5-48cc-ac38-d746d8de5d43,2026-03-13T18:45:16.344000,NO TRADE,,NO_TRADE,71249.8,35.0,71249.8,71695.7,71141.04,71233.7,68971.6,0.0,standard,NEUTRAL,NEUTRAL,DOWN,,,invalidated
7b1c9d44-7adb-456e-843e-286a9f67fcfe,2026-03-13T18:44:17.118000,SHORT,,WIN,71299.6,56.7,71299.6,71345.2,71414.8,68971.6,74543.0,20.21,standard,NEUTRAL,SELL,DOWN,-4.55,"[RECALCULATED] Target 2 hit at $74,543 on 2026-03-13 19:00 UTC",invalidated
7be7fc51-6701-4580-ab3c-5de5bd34b004,2026-03-13T18:42:16.575000,NO TRADE,,NO_TRADE,71257.0,50.0,70544.43,71969.57,0.0,0.0,0.0,0.0,sweep_reversal,BULLISH,NEUTRAL,UP,,,invalidated
9e4cc1a4-c9f7-4561-a973-1d61de324230,2026-03-13T18:41:16.328000,LONG,,PARTIAL_WIN,71232.7,61.7,71243.47,71232.7,68626.74,70787.1,71695.7,0.17,sweep_reversal,BULLISH,BUY,UP,-0.63,"[RECALCULATED] T1 hit at $70,787, expired before T2",invalidated
80d3b872-9ed2-47bb-be14-b25e3d556b7c,2026-03-13T18:40:17.041000,NO TRADE,,NO_TRADE,71273.9,50.0,70561.16,71986.64,0.0,0.0,0.0,0.0,sweep_reversal,BULLISH,BUY,UP,,,invalidated
